dataset,classifier,aggregation,original_size,reduced_size,reduction_percent,accuracy,original_accuracy,acc_diff_percent,elapsed_time,baseline_time,time_diff
ACSF1,Rocket,none,1460,1460,0.0,0.89,0.89,0.0,21.62,21.62,0.0
ACSF1,Rocket,average,1460,100,93.15,0.74,0.89,-15.0,1.56,21.62,-20.06
ACSF1,Rocket,median,1460,100,93.15,0.54,0.89,-35.0,1.52,21.62,-20.1
ACSF1,Rocket,max,1460,100,93.15,0.32,0.89,-57.0,1.47,21.62,-20.15
ACSF1,Rocket,min,1460,100,93.15,0.39,0.89,-50.0,1.5,21.62,-20.12
ACSF1,Rocket,sum,1460,100,93.15,0.76,0.89,-13.0,1.53,21.62,-20.09
ACSF1,Rocket,variance,1460,100,93.15,0.65,0.89,-24.0,1.5,21.62,-20.12
ACSF1,Rocket,std,1460,100,93.15,0.65,0.89,-24.0,1.46,21.62,-20.16
ACSF1,Rocket,iqr,1460,100,93.15,0.72,0.89,-17.0,1.51,21.62,-20.11
ACSF1,Rocket,first,1460,100,93.15,0.78,0.89,-11.0,1.49,21.62,-20.13
ACSF1,Rocket,central,1460,100,93.15,0.74,0.89,-15.0,1.51,21.62,-20.11
ACSF1,Rocket,last,1460,100,93.15,0.78,0.89,-11.0,1.48,21.62,-20.14
ACSF1,Rocket,max-min,1460,100,93.15,0.38,0.89,-51.0,1.47,21.62,-20.15
ACSF1,Rocket,avg-max,1460,100,93.15,0.62,0.89,-27.0,1.5,21.62,-20.12
ACSF1,Rocket,avg-min,1460,100,93.15,0.73,0.89,-16.0,1.66,21.62,-19.96
ACSF1,Rocket,random,1460,100,93.15,0.23,0.89,-66.0,1.5,21.62,-20.12
ACSF1,Catch22,none,1460,1460,0.0,0.86,0.86,0.0,0.89,0.89,0.0
ACSF1,Catch22,average,1460,100,93.15,0.66,0.86,-20.0,0.38,0.89,-0.51
ACSF1,Catch22,median,1460,100,93.15,0.69,0.86,-17.0,0.32,0.89,-0.57
ACSF1,Catch22,max,1460,100,93.15,0.45,0.86,-41.0,0.34,0.89,-0.55
ACSF1,Catch22,min,1460,100,93.15,0.74,0.86,-12.0,0.33,0.89,-0.56
ACSF1,Catch22,sum,1460,100,93.15,0.7,0.86,-16.0,0.33,0.89,-0.56
ACSF1,Catch22,variance,1460,100,93.15,0.61,0.86,-25.0,0.36,0.89,-0.53
ACSF1,Catch22,std,1460,100,93.15,0.61,0.86,-25.0,0.35,0.89,-0.54
ACSF1,Catch22,iqr,1460,100,93.15,0.81,0.86,-5.0,0.33,0.89,-0.56
ACSF1,Catch22,first,1460,100,93.15,0.66,0.86,-20.0,0.34,0.89,-0.55
ACSF1,Catch22,central,1460,100,93.15,0.72,0.86,-14.0,0.35,0.89,-0.54
ACSF1,Catch22,last,1460,100,93.15,0.75,0.86,-11.0,0.34,0.89,-0.55
ACSF1,Catch22,max-min,1460,100,93.15,0.59,0.86,-27.0,0.36,0.89,-0.53
ACSF1,Catch22,avg-max,1460,100,93.15,0.67,0.86,-19.0,0.33,0.89,-0.56
ACSF1,Catch22,avg-min,1460,100,93.15,0.79,0.86,-7.0,0.35,0.89,-0.54
ACSF1,Catch22,random,1460,100,93.15,0.51,0.86,-35.0,0.34,0.89,-0.55
HouseTwenty,Rocket,none,2000,2000,0.0,0.9664,0.9664,0.0,23.12,23.12,0.0
HouseTwenty,Rocket,average,2000,100,95.0,0.8824,0.9664,-8.4,1.23,23.12,-21.89
HouseTwenty,Rocket,median,2000,100,95.0,0.9244,0.9664,-4.2,1.22,23.12,-21.9
HouseTwenty,Rocket,max,2000,100,95.0,0.8739,0.9664,-9.25,1.17,23.12,-21.95
HouseTwenty,Rocket,min,2000,100,95.0,0.8571,0.9664,-10.93,1.18,23.12,-21.94
HouseTwenty,Rocket,sum,2000,100,95.0,0.8824,0.9664,-8.4,1.14,23.12,-21.98
HouseTwenty,Rocket,variance,2000,100,95.0,0.8235,0.9664,-14.29,1.21,23.12,-21.91
HouseTwenty,Rocket,std,2000,100,95.0,0.8824,0.9664,-8.4,1.15,23.12,-21.97
HouseTwenty,Rocket,iqr,2000,100,95.0,0.9328,0.9664,-3.36,1.15,23.12,-21.97
HouseTwenty,Rocket,first,2000,100,95.0,0.9328,0.9664,-3.36,1.17,23.12,-21.95
HouseTwenty,Rocket,central,2000,100,95.0,0.9244,0.9664,-4.2,1.18,23.12,-21.94
HouseTwenty,Rocket,last,2000,100,95.0,0.9244,0.9664,-4.2,1.21,23.12,-21.91
HouseTwenty,Rocket,max-min,2000,100,95.0,0.916,0.9664,-5.04,1.16,23.12,-21.96
HouseTwenty,Rocket,avg-max,2000,100,95.0,0.916,0.9664,-5.04,1.18,23.12,-21.94
HouseTwenty,Rocket,avg-min,2000,100,95.0,0.8739,0.9664,-9.25,1.14,23.12,-21.98
HouseTwenty,Rocket,random,2000,100,95.0,0.9244,0.9664,-4.2,1.13,23.12,-21.99
HouseTwenty,Catch22,none,2000,2000,0.0,0.9664,0.9664,0.0,0.79,0.79,0.0
HouseTwenty,Catch22,average,2000,100,95.0,0.7983,0.9664,-16.81,0.29,0.79,-0.5
HouseTwenty,Catch22,median,2000,100,95.0,0.8908,0.9664,-7.56,0.28,0.79,-0.51
HouseTwenty,Catch22,max,2000,100,95.0,0.7227,0.9664,-24.37,0.34,0.79,-0.45
HouseTwenty,Catch22,min,2000,100,95.0,0.9328,0.9664,-3.36,0.29,0.79,-0.5
HouseTwenty,Catch22,sum,2000,100,95.0,0.8067,0.9664,-15.97,0.3,0.79,-0.49
HouseTwenty,Catch22,variance,2000,100,95.0,0.8824,0.9664,-8.4,0.29,0.79,-0.5
HouseTwenty,Catch22,std,2000,100,95.0,0.8908,0.9664,-7.56,0.28,0.79,-0.51
HouseTwenty,Catch22,iqr,2000,100,95.0,0.8992,0.9664,-6.72,0.31,0.79,-0.48
HouseTwenty,Catch22,first,2000,100,95.0,0.916,0.9664,-5.04,0.29,0.79,-0.5
HouseTwenty,Catch22,central,2000,100,95.0,0.9244,0.9664,-4.2,0.29,0.79,-0.5
HouseTwenty,Catch22,last,2000,100,95.0,0.9076,0.9664,-5.88,0.29,0.79,-0.5
HouseTwenty,Catch22,max-min,2000,100,95.0,0.8908,0.9664,-7.56,0.29,0.79,-0.5
HouseTwenty,Catch22,avg-max,2000,100,95.0,0.9328,0.9664,-3.36,0.31,0.79,-0.48
HouseTwenty,Catch22,avg-min,2000,100,95.0,0.8908,0.9664,-7.56,0.29,0.79,-0.5
HouseTwenty,Catch22,random,2000,100,95.0,0.8824,0.9664,-8.4,0.28,0.79,-0.51
